,Open,High,Low,Close,Adj Close,Date
0,38724.348,39745.027,37484.41,38645.508,38645.508,2021-05-28
1,36544.22,37541.934,35316.08,36460.293,36460.293,2021-05-29
2,36365.285,37361.117,35138.117,36280.945,36280.945,2021-05-30
3,36797.52,37797.902,35568.01,36714.184,36714.184,2021-05-31
4,37744.566,38754.93,36509.934,37663.44,37663.44,2021-06-01
5,37126.25,38130.098,35894.96,37043.684,37043.684,2021-06-02
6,38148.195,39162.81,36911.375,38068.01,38068.01,2021-06-03
7,39387.516,40415.184,38143.99,39310.223,39310.223,2021-06-04
8,37027.305,38030.113,35796.555,36944.508,36944.508,2021-06-05
9,36790.203,37790.51,35560.734,36706.85,36706.85,2021-06-06
10,36898.82,37900.27,35668.76,36815.72,36815.72,2021-06-07
11,34714.637,35693.082,33496.402,34626.445,34626.445,2021-06-08
12,35141.19,36124.13,33920.645,35053.992,35053.992,2021-06-09
13,37783.01,38793.777,36548.168,37701.973,37701.973,2021-06-10
14,36803.85,37804.3,35574.31,36720.53,36720.53,2021-06-11
15,37842.055,38853.445,36606.895,37761.16,37761.16,2021-06-12
16,35951.293,36942.766,34726.363,35865.984,35865.984,2021-06-13
17,39673.723,40704.406,38428.65,39597.098,39597.098,2021-06-14
18,40186.312,41222.395,38938.465,40110.883,40110.883,2021-06-15
19,40531.418,41571.133,39281.7,40456.793,40456.793,2021-06-16
20,38501.207,39519.54,37262.48,38421.848,38421.848,2021-06-17
21,38857.766,39879.85,37617.11,38779.24,38779.24,2021-06-18
22,36424.742,37421.2,35197.25,36340.54,36340.54,2021-06-19
23,37035.664,38038.56,35804.867,36952.887,36952.887,2021-06-20
24,36402.29,37398.51,35174.92,36318.03,36318.03,2021-06-21
25,33173.918,34136.133,31964.021,33082.133,33082.133,2021-06-22
26,34849.973,35829.84,33631.004,34762.094,34762.094,2021-06-23
27,34647.785,35625.523,33429.91,34559.434,34559.434,2021-06-24
28,35413.418,36399.227,34191.402,35326.855,35326.855,2021-06-25
29,32682.164,33639.2,31474.928,32589.23,32589.23,2021-06-26
30,34249.355,35222.9,33033.637,34160.08,34160.08,2021-06-27
31,35339.207,36324.23,34117.594,35252.473,35252.473,2021-06-28
32,34990.664,35972.016,33770.938,34903.117,34903.117,2021-06-29
33,36657.484,37656.395,35428.734,36573.824,36573.824,2021-06-30
34,35370.445,36355.797,34148.66,35283.78,35283.78,2021-07-01
35,34671.254,35649.242,33453.254,34582.96,34582.96,2021-07-02
36,35127.375,36110.168,33906.906,35040.145,35040.145,2021-07-03
37,35461.95,36448.266,34239.67,35375.5,35375.5,2021-07-04
38,35981.19,36972.98,34756.1,35895.953,35895.953,2021-07-05
39,34439.164,35414.707,33222.42,34350.33,34350.33,2021-07-06
40,35553.875,36541.16,34331.098,35467.64,35467.64,2021-07-07
41,34705.82,35684.17,33487.633,34617.61,34617.61,2021-07-08
42,34087.516,35059.35,32872.67,33997.86,33997.86,2021-07-09
43,34995.246,35976.65,33775.492,34907.707,34907.707,2021-07-10
44,34389.03,35364.043,33172.555,34300.08,34300.08,2021-07-11
45,35259.977,36244.164,34038.79,35173.055,35173.055,2021-07-12
46,34009.61,34980.625,32795.19,33919.773,33919.773,2021-07-13
47,34177.867,35150.656,32962.54,34088.42,34088.42,2021-07-14
48,33990.047,34960.86,32775.734,33900.164,33900.164,2021-07-15
49,33150.65,34112.617,31940.877,33058.81,33058.81,2021-07-16
50,33170.22,34132.39,31960.34,33078.42,33078.42,2021-07-17
51,33042.08,34002.906,31832.896,32949.984,32949.984,2021-07-18
52,33200.746,34163.246,31990.705,33109.023,33109.023,2021-07-19
53,32308.217,33261.312,31103.006,32214.412,32214.412,2021-07-20
54,31842.496,32790.684,30639.805,31747.604,31747.604,2021-07-21
55,33698.1,34665.836,32485.367,33607.535,33607.535,2021-07-22
56,33100.805,34062.246,31891.303,33008.848,33008.848,2021-07-23
57,34707.816,35686.188,33489.617,34619.605,34619.605,2021-07-24
58,34947.44,35928.336,33727.945,34859.79,34859.79,2021-07-25
59,36026.316,37018.58,34800.984,35941.184,35941.184,2021-07-26
60,38246.094,39261.74,37008.746,38166.137,38166.137,2021-07-27
61,39500.445,40529.3,38256.31,39423.414,39423.414,2021-07-28
62,40169.273,41205.176,38921.52,40093.805,40093.805,2021-07-29
63,40119.223,41154.598,38871.74,40043.637,40043.637,2021-07-30
64,42351.773,43410.664,41092.203,42281.395,42281.395,2021-07-31
65,41428.098,42477.26,40173.53,41355.566,41355.566,2021-08-01
66,39925.887,40959.227,38679.45,39849.848,39849.848,2021-08-02
67,39543.277,40572.586,38298.91,39466.348,39466.348,2021-08-03
68,38623.266,39642.887,37383.88,38544.19,38544.19,2021-08-04
69,40191.004,41227.137,38943.13,40115.586,40115.586,2021-08-05
70,40740.55,41782.473,39489.703,40666.414,40666.414,2021-08-06
71,42888.562,43953.11,41626.09,42819.434,42819.434,2021-08-07
72,44466.938,45548.113,43195.92,44401.492,44401.492,2021-08-08
73,43791.0,44865.05,42523.64,43723.977,43723.977,2021-08-09
74,45926.58,47023.13,44647.664,45864.54,45864.54,2021-08-10
75,45373.273,46463.996,44097.35,45309.94,45309.94,2021-08-11
76,45459.855,46551.49,44183.465,45396.727,45396.727,2021-08-12
77,44222.742,45301.344,42953.047,44156.727,44156.727,2021-08-13
78,47298.293,48409.293,46011.957,47239.453,47239.453,2021-08-14
79,46410.594,47512.242,45129.06,46349.68,46349.68,2021-08-15
80,46402.41,47503.973,45120.918,46341.477,46341.477,2021-08-16
81,45399.844,46490.848,44123.78,45336.574,45336.574,2021-08-17
82,44274.83,45353.98,43004.85,44208.934,44208.934,2021-08-18
83,44863.03,45948.38,43589.875,44798.51,44798.51,2021-08-19
84,46570.992,47674.332,45288.594,46510.457,46510.457,2021-08-20
85,48591.387,49716.008,47298.05,48535.562,48535.562,2021-08-21
86,48267.562,49388.773,46975.98,48210.984,48210.984,2021-08-22
87,48772.418,49898.945,47478.1,48717.016,48717.016,2021-08-23
88,48914.105,50042.125,47619.023,48859.03,48859.03,2021-08-24
89,47280.71,48391.523,45994.465,47221.83,47221.83,2021-08-25
90,48333.934,49455.844,47041.992,48277.508,48277.508,2021-08-26
91,46496.203,47598.754,45214.207,46435.492,46435.492,2021-08-27
92,48148.92,49268.883,46857.98,48092.066,48092.066,2021-08-28
93,47964.4,49082.418,46674.457,47907.113,47907.113,2021-08-29
94,48143.977,49263.887,46853.062,48087.11,48087.11,2021-08-30
95,47034.473,48142.695,45749.562,46975.02,46975.02,2021-08-31
96,47524.9,48638.285,46237.336,47466.586,47466.586,2021-09-01
97,48332.953,49454.85,47041.016,48276.527,48276.527,2021-09-02
98,48546.16,49670.305,47253.07,48490.23,48490.23,2021-09-03
99,48884.375,50012.082,47589.453,48829.234,48829.234,2021-09-04
100,48854.266,49981.656,47559.504,48799.055,48799.055,2021-09-05
101,50178.96,51320.305,48877.035,50126.84,50126.84,2021-09-06
102,50750.9,51898.266,49445.875,50700.11,50700.11,2021-09-07
103,45286.375,46376.184,44010.926,45222.844,45222.844,2021-09-08
104,47311.09,48422.223,46024.684,47252.277,47252.277,2021-09-09
105,46249.99,47349.945,44969.324,46188.703,46188.703,2021-09-10
106,44921.03,46006.99,43647.56,44856.645,44856.645,2021-09-11
107,45628.24,46721.65,44350.94,45565.504,45565.504,2021-09-12
108,45995.785,47093.066,44716.496,45933.906,45933.906,2021-09-13
109,44727.566,45811.484,43455.14,44662.727,44662.727,2021-09-14
110,47112.54,48221.586,45827.207,47053.266,47053.266,2021-09-15
111,47761.133,48877.008,46472.29,47703.37,47703.37,2021-09-16
112,47304.47,48415.535,46018.098,47245.645,47245.645,2021-09-17
113,47016.77,48124.805,45731.957,46957.273,46957.273,2021-09-18
114,47955.863,49073.79,46665.97,47898.555,47898.555,2021-09-19
115,46514.68,47617.42,45232.582,46454.008,46454.008,2021-09-20
116,41630.33,42681.62,40374.664,41558.266,41558.266,2021-09-21
117,42050.953,43106.68,40793.016,41979.87,41979.87,2021-09-22
118,44055.78,45132.625,42786.992,43989.38,43989.38,2021-09-23
119,44490.45,45571.87,43219.305,44425.06,44425.06,2021-09-24
120,42075.984,43131.973,40817.906,42004.96,42004.96,2021-09-25
121,43195.543,44263.324,41931.41,43127.133,43127.133,2021-09-26
122,43113.883,44180.805,41850.19,43045.28,43045.28,2021-09-27
123,42366.195,43425.24,41106.547,42295.848,42295.848,2021-09-28
124,41012.92,42057.71,39760.6,40939.42,40939.42,2021-09-29
125,42163.49,43220.4,40904.938,42092.668,42092.668,2021-09-30
126,44151.43,45229.28,42882.125,44085.25,44085.25,2021-10-01
127,47726.645,48842.156,46437.99,47668.805,47668.805,2021-10-02
128,47884.18,49001.35,46594.67,47826.707,47826.707,2021-10-03
129,48665.66,49791.066,47371.92,48610.01,48610.01,2021-10-04
130,49209.438,50340.566,47912.754,49155.055,49155.055,2021-10-05
131,51326.188,52479.617,50018.05,51276.742,51276.742,2021-10-06
132,54453.3,55639.668,53128.24,54411.15,54411.15,2021-10-07
133,53798.957,54978.434,52477.438,53755.28,53755.28,2021-10-08
134,54383.88,55569.52,53059.195,54341.566,54341.566,2021-10-09
135,55047.402,56240.03,53719.13,55006.64,55006.64,2021-10-10
136,54808.64,55998.754,53481.656,54767.32,54767.32,2021-10-11
137,56990.566,58203.664,55651.773,56954.332,56954.332,2021-10-12
138,55381.19,56577.336,54051.11,55341.207,55341.207,2021-10-13
139,57417.37,58634.965,56076.273,57382.137,57382.137,2021-10-14
140,57190.047,58405.246,55850.176,57154.28,57154.28,2021-10-15
141,60644.094,61895.68,59285.53,60616.383,60616.383,2021-10-16
142,59675.41,60916.793,58322.09,59645.44,59645.44,2021-10-17
143,60897.535,62151.79,59537.6,60870.418,60870.418,2021-10-18
144,60998.574,62253.895,59638.094,60971.69,60971.69,2021-10-19
145,63185.816,64464.17,61813.496,63164.03,63164.03,2021-10-20
146,63501.363,64783.047,62127.34,63480.32,63480.32,2021-10-21
147,60149.344,61395.715,58793.457,60120.477,60120.477,2021-10-22
148,60531.867,61782.27,59173.914,60503.9,60503.9,2021-10-23
149,60158.06,61404.523,58802.125,60129.215,60129.215,2021-10-24
150,59918.375,61162.312,58563.74,59888.973,59888.973,2021-10-25
151,61882.074,63146.7,60516.812,61857.254,61857.254,2021-10-26
152,58798.09,60030.227,57449.516,58766.074,58766.074,2021-10-27
153,58518.73,59747.926,57171.67,58486.062,58486.062,2021-10-28
154,60831.21,62084.766,59471.637,60803.938,60803.938,2021-10-29
155,60998.273,62253.59,59637.793,60971.39,60971.39,2021-10-30
156,60839.77,62093.414,59480.145,60812.51,60812.51,2021-10-31
157,60639.754,61891.293,59281.21,60612.03,60612.03,2021-11-01
158,60802.805,62056.062,59443.383,60775.465,60775.465,2021-11-02
159,63076.293,64353.496,61704.566,63054.254,63054.254,2021-11-03
160,60831.176,62084.73,59471.6,60803.902,60803.902,2021-11-04
161,60375.535,61624.293,59018.426,60347.2,60347.2,2021-11-05
162,60752.15,62004.87,59393.0,60724.69,60724.69,2021-11-06
163,60495.71,61745.734,59137.953,60467.656,60467.656,2021-11-07
164,62797.64,64071.91,61427.426,62774.953,62774.953,2021-11-08
165,64904.848,66201.31,63523.227,64887.08,64887.08,2021-11-09
166,63691.418,64975.1,62316.363,63670.816,63670.816,2021-11-10
167,63406.754,64687.44,62033.24,63385.49,63385.49,2021-11-11
168,63725.22,65009.258,62349.98,63704.69,63704.69,2021-11-12
169,62129.594,63396.824,60762.99,62105.348,62105.348,2021-11-13
170,63180.504,64458.805,61808.215,63158.71,63158.71,2021-11-14
171,63348.64,64628.715,61975.438,63327.24,63327.24,2021-11-15
172,62410.484,63680.676,61042.36,62386.895,62386.895,2021-11-16
173,59059.89,60294.79,57709.902,59028.49,59028.49,2021-11-17
174,59825.082,61068.04,58470.95,59795.46,59795.46,2021-11-18
175,56004.53,57207.242,54671.074,55966.0,55966.0,2021-11-19
176,58209.89,59435.836,56864.504,58176.504,58176.504,2021-11-20
177,59051.92,60286.734,57701.977,59020.5,59020.5,2021-11-21
178,58951.473,60185.227,57602.07,58919.812,58919.812,2021-11-22
179,56201.824,57406.613,54867.3,56163.75,56163.75,2021-11-23
180,57210.8,58426.22,55870.82,57175.086,57175.086,2021-11-24
181,55845.25,57046.28,54512.656,55806.348,55806.348,2021-11-25
182,57554.543,58773.582,56212.7,57519.625,57519.625,2021-11-26
183,53810.742,54990.344,52489.16,53767.094,53767.094,2021-11-27
184,55329.316,56524.918,53999.516,55289.21,55289.21,2021-11-28
185,56213.773,57418.688,54879.184,56175.727,56175.727,2021-11-29
186,56584.168,57792.984,55247.574,56546.99,56546.99,2021-11-30
187,56549.73,57758.184,55213.324,56512.47,56512.47,2021-12-01
188,56539.066,57747.41,55202.72,56501.78,56501.78,2021-12-02
189,55936.133,57138.12,54603.047,55897.438,55897.438,2021-12-03
190,53423.867,54599.395,52104.38,53379.316,53379.316,2021-12-04
191,48716.1,49842.035,47422.09,48660.566,48660.566,2021-12-05
192,50061.05,51201.152,48759.758,50008.652,50008.652,2021-12-06
193,49783.332,50920.508,48483.543,49730.29,49730.29,2021-12-07
194,49771.75,50908.805,48472.027,49718.68,49718.68,2021-12-08
195,49502.684,50636.902,48204.414,49448.984,49448.984,2021-12-09
196,47560.348,48674.11,46272.594,47502.117,47502.117,2021-12-10
197,48047.22,49166.105,46756.83,47990.125,47990.125,2021-12-11
198,48838.6,49965.83,47543.926,48783.355,48783.355,2021-12-12
199,49016.67,50145.773,47721.035,48961.84,48961.84,2021-12-13
200,46314.805,47415.44,45033.79,46253.668,46253.668,2021-12-14
201,47289.48,48400.387,46003.19,47230.62,47230.62,2021-12-15
202,48270.082,49391.32,46978.49,48213.508,48213.508,2021-12-16
203,47016.496,48124.527,45731.684,46957.0,46957.0,2021-12-17
204,46100.44,47198.824,44820.586,46038.81,46038.81,2021-12-18
205,47024.152,48132.266,45739.3,46964.67,46964.67,2021-12-19
206,46606.95,47710.668,45324.35,46546.496,46546.496,2021-12-20
207,46576.203,47679.598,45293.773,46515.68,46515.68,2021-12-21
208,48302.66,49424.24,47010.887,48246.16,48246.16,2021-12-22
209,47975.355,49093.49,46685.355,47918.094,47918.094,2021-12-23
210,49803.176,50940.562,48503.28,49750.18,49750.18,2021-12-24
211,49819.12,50956.676,48519.145,49766.164,49766.164,2021-12-25
212,49413.203,50546.48,48115.418,49359.293,49359.293,2021-12-26
213,49469.277,50603.15,48171.19,49415.504,49415.504,2021-12-27
214,49407.367,50540.586,48109.617,49353.445,49353.445,2021-12-28
215,47070.914,48179.52,45785.805,47011.543,47011.543,2021-12-29
216,46834.58,47940.695,45550.75,46774.656,46774.656,2021-12-30
217,47358.918,48470.56,46072.254,47300.22,47300.22,2021-12-31
218,46317.805,47418.477,45036.773,46256.676,46256.676,2022-01-01
219,47647.848,48762.527,46359.617,47589.82,47589.82,2022-01-02
220,47108.953,48217.96,45823.64,47049.67,47049.67,2022-01-03
221,46328.066,47428.848,45046.98,46266.965,46266.965,2022-01-04
222,46054.527,47152.426,44774.918,45992.785,45992.785,2022-01-05
223,43351.79,44421.215,42086.81,43283.742,43283.742,2022-01-06
224,43930.47,45005.992,42662.355,43863.773,43863.773,2022-01-07
225,40880.492,41923.887,39628.887,40806.68,40806.68,2022-01-08
226,42702.05,43764.637,41440.59,42632.492,42632.492,2022-01-09
227,41732.656,42785.027,40476.44,41660.832,41660.832,2022-01-10
228,41762.453,42815.14,40506.074,41690.7,41690.7,2022-01-11
229,43108.562,44175.43,41844.902,43039.95,43039.95,2022-01-12
230,44058.17,45135.043,42789.37,43991.773,43991.773,2022-01-13
231,42327.555,43386.19,41068.117,42257.117,42257.117,2022-01-14
232,43355.973,44425.445,42090.973,43287.938,43287.938,2022-01-15
233,43104.938,44171.76,41841.293,43036.312,43036.312,2022-01-16
234,43017.133,44083.035,41753.965,42948.305,42948.305,2022-01-17
235,41931.445,42985.914,40674.152,41860.086,41860.086,2022-01-18
236,42316.55,43375.074,41057.17,42246.09,42246.09,2022-01-19
237,41435.027,42484.266,40180.42,41362.51,41362.51,2022-01-20
238,40710.68,41752.285,39459.996,40636.473,40636.473,2022-01-21
239,36081.47,37074.312,34855.836,35996.465,35996.465,2022-01-22
240,36879.773,37881.023,35649.82,36796.63,36796.63,2022-01-23
241,37073.98,38077.277,35842.977,36991.293,36991.293,2022-01-24
242,37042.695,38045.664,35811.86,36959.934,36959.934,2022-01-25
243,37666.83,38676.37,36432.617,37585.523,37585.523,2022-01-26
244,37558.977,38567.383,36325.348,37477.418,37477.418,2022-01-27
245,37720.332,38730.438,36485.832,37639.152,37639.152,2022-01-28
246,38302.305,39318.54,37064.652,38222.48,38222.48,2022-01-29
247,38615.18,39634.71,37375.836,38536.086,38536.086,2022-01-30
248,38395.05,39412.26,37156.895,38315.44,38315.44,2022-01-31
249,38892.055,39914.504,37651.21,38813.605,38813.605,2022-02-01
250,39130.59,40155.55,37888.453,39052.695,39052.695,2022-02-02
251,37502.688,38510.5,36269.363,37420.996,37420.996,2022-02-03
252,38027.98,39041.324,36791.812,37947.516,37947.516,2022-02-04
253,41569.383,42620.035,40314.047,41497.18,41497.18,2022-02-05
254,41368.78,42417.32,40114.535,41296.113,41296.113,2022-02-06
255,42549.633,43610.613,41288.996,42479.72,42479.72,2022-02-07
256,43921.254,44996.68,42653.19,43854.535,43854.535,2022-02-08
257,44061.6,45138.508,42792.78,43995.215,43995.215,2022-02-09
258,44028.25,45104.805,42759.613,43961.785,43961.785,2022-02-10
259,43392.367,44462.223,42127.168,43324.418,43324.418,2022-02-11
260,42029.137,43084.633,40771.316,41958.008,41958.008,2022-02-12
261,42248.348,43306.152,40989.34,42177.727,42177.727,2022-02-13
262,42018.066,43073.445,40760.305,41946.91,41946.91,2022-02-14
263,42456.973,43516.973,41196.836,42386.84,42386.84,2022-02-15
264,44531.82,45613.68,43260.457,44466.527,44466.527,2022-02-16
265,43144.754,44212.0,41880.895,43076.223,43076.223,2022-02-17
266,39560.977,40590.473,38316.51,39484.09,39484.09,2022-02-18
267,40687.164,41728.523,39436.605,40612.902,40612.902,2022-02-19
268,40044.176,41078.76,38797.098,39968.414,39968.414,2022-02-20
269,38640.56,39660.36,37401.08,38561.523,38561.523,2022-02-21
270,37979.043,38991.875,36743.14,37898.465,37898.465,2022-02-22
271,38967.78,39991.027,37726.527,38889.51,38889.51,2022-02-23
272,37908.43,38920.52,36672.91,37827.688,37827.688,2022-02-24
273,38796.695,39818.14,37556.37,38718.027,38718.027,2022-02-25
274,39586.105,40615.867,38341.508,39509.277,39509.277,2022-02-26
275,39488.24,40516.97,38244.168,39411.18,39411.18,2022-02-27
276,38407.06,39424.402,37168.84,38327.48,38327.48,2022-02-28
277,43390.742,44460.582,42125.55,43322.79,43322.79,2022-03-01
278,44333.016,45412.777,43062.727,44267.258,44267.258,2022-03-02
279,43804.383,44878.58,42536.953,43737.39,43737.39,2022-03-03
280,42059.145,43114.957,40801.164,41988.086,41988.086,2022-03-04
281,38755.17,39776.176,37515.066,38676.402,38676.402,2022-03-05
282,40145.18,41180.83,38897.555,40069.652,40069.652,2022-03-06
283,38487.492,39505.68,37248.84,38408.1,38408.1,2022-03-07
284,38704.418,39724.89,37464.59,38625.53,38625.53,2022-03-08
285,39183.43,40208.95,37941.008,39105.66,39105.66,2022-03-09
286,42224.242,43281.793,40965.367,42153.566,42153.566,2022-03-10
287,39204.98,40230.727,37962.44,39127.26,39127.26,2022-03-11
288,39429.63,40457.74,38185.875,39352.434,39352.434,2022-03-12
289,39351.703,40378.992,38108.37,39274.324,39274.324,2022-03-13
290,38691.465,39711.8,37451.707,38612.547,38612.547,2022-03-14
291,40243.523,41280.207,38995.363,40168.227,40168.227,2022-03-15
292,39624.78,40654.95,38379.973,39548.04,39548.04,2022-03-16
293,41394.543,42443.35,40140.156,41321.93,41321.93,2022-03-17
294,41051.61,42096.81,39799.08,40978.2,40978.2,2022-03-18
295,41942.676,42997.26,40685.324,41871.344,41871.344,2022-03-19
296,42340.594,43399.37,41081.086,42270.19,42270.19,2022-03-20
297,41347.598,42395.91,40093.465,41274.875,41274.875,2022-03-21
298,41271.74,42319.254,40018.016,41198.84,41198.84,2022-03-22
299,42699.246,43761.8,41437.797,42629.68,42629.68,2022-03-23
300,42975.016,44040.473,41712.074,42906.09,42906.09,2022-03-24
301,44010.324,45086.688,42741.777,43943.812,43943.812,2022-03-25
302,44283.176,45362.414,43013.156,44217.3,44217.3,2022-03-26
303,44244.31,45323.14,42974.5,44178.344,44178.344,2022-03-27
304,46509.934,47612.63,45227.863,46449.254,46449.254,2022-03-28
305,46994.703,48102.504,45710.008,46935.156,46935.156,2022-03-29
306,47342.9,48454.367,46056.316,47284.16,47284.16,2022-03-30
307,46654.95,47759.17,45372.094,46594.61,46594.61,2022-03-31
308,45204.62,46293.566,43929.613,45140.895,45140.895,2022-04-01
309,46103.5,47201.914,44823.63,46041.875,46041.875,2022-04-02
310,45254.91,46344.383,43979.63,45191.3,45191.3,2022-04-03
311,46109.79,47208.27,44829.887,46048.18,46048.18,2022-04-04
312,46015.594,47113.082,44736.2,45953.76,45953.76,2022-04-05
313,45089.715,46177.45,43815.33,45025.723,45025.723,2022-04-06
314,42816.18,43879.965,41554.098,42746.883,42746.883,2022-04-07
315,44375.566,45455.78,43105.047,44309.91,44309.91,2022-04-08
316,41725.9,42778.2,40469.72,41654.062,41654.062,2022-04-09
317,43602.277,44674.344,42335.94,43534.816,43534.816,2022-04-10
318,41825.613,42878.965,40568.895,41754.008,41754.008,2022-04-11
319,39006.76,40030.418,37765.297,38928.582,38928.582,2022-04-12
320,41150.77,42197.01,39897.7,41077.59,41077.59,2022-04-13
321,41246.38,42293.63,39992.793,41173.42,41173.42,2022-04-14
322,40033.242,41067.71,38786.223,39957.457,39957.457,2022-04-15
323,41127.516,42173.51,39874.57,41054.28,41054.28,2022-04-16
324,40651.938,41692.926,39401.57,40577.594,40577.594,2022-04-17
325,40129.586,41165.07,38882.043,40054.023,40054.023,2022-04-18
326,41100.188,42145.9,39847.395,41026.89,41026.89,2022-04-19
327,41714.598,42766.777,40458.477,41642.73,41642.73,2022-04-20
328,41640.49,42691.89,40384.773,41568.453,41568.453,2022-04-21
329,40990.637,42035.19,39738.438,40917.082,40917.082,2022-04-22
330,40305.23,41342.562,39056.74,40230.08,40230.08,2022-04-23
331,40138.605,41174.184,38891.016,40063.062,40063.062,2022-04-24
332,40034.395,41068.875,38787.367,39958.61,39958.61,2022-04-25
333,40693.027,41734.445,39442.438,40618.777,40618.777,2022-04-26
334,38770.844,39792.016,37530.656,38692.113,38692.113,2022-04-27
335,39963.535,40997.27,38716.89,39887.586,39887.586,2022-04-28
336,40110.332,41145.613,38862.895,40034.723,40034.723,2022-04-29
337,39142.31,40167.395,37900.11,39064.445,39064.445,2022-04-30
338,38590.47,39609.742,37351.258,38511.316,38511.316,2022-05-01
339,39184.805,40210.34,37942.38,39107.04,39107.04,2022-05-02
340,39107.457,40132.176,37865.445,39029.51,39029.51,2022-05-03
341,38466.57,39484.54,37228.03,38387.13,38387.13,2022-05-04
342,40115.73,41151.07,38868.266,40040.137,40040.137,2022-05-05
343,37026.42,38029.22,35795.676,36943.62,36943.62,2022-05-06
344,37494.156,38501.883,36260.88,37412.45,37412.45,2022-05-07
345,36533.42,37531.023,35305.344,36449.473,36449.473,2022-05-08
346,35499.133,36485.84,34276.652,35412.77,35412.77,2022-05-09
347,32539.076,33494.6,31332.615,32445.809,32445.809,2022-05-10
348,33920.113,34890.188,32706.178,33830.066,33830.066,2022-05-11
349,30719.672,31656.033,29523.057,30622.16,30622.16,2022-05-12
350,32035.758,32985.98,30832.02,31941.316,31941.316,2022-05-13
